Entity,Code,Year,Share of adults who smoke or use tobacco (age-standardized)
Afghanistan,AFG,2000,38
Afghanistan,AFG,2005,33.5
Afghanistan,AFG,2007,31.8
Afghanistan,AFG,2010,29.7
Afghanistan,AFG,2015,26.4
Afghanistan,AFG,2020,23.7
Afghanistan,AFG,2022,22.9
Africa,OWID_AFR,2000,19.103987
Africa,OWID_AFR,2005,16.726608
Africa,OWID_AFR,2007,15.92129
Africa,OWID_AFR,2010,14.860338
Africa,OWID_AFR,2015,13.356131
Africa,OWID_AFR,2020,12.108223
Africa,OWID_AFR,2022,11.721137
Albania,ALB,2000,34.1
Albania,ALB,2005,31
Albania,ALB,2007,29.8
Albania,ALB,2010,28.1
Albania,ALB,2015,25.5
Albania,ALB,2020,23.2
Albania,ALB,2022,22.3
Algeria,DZA,2000,20.5
Algeria,DZA,2005,20.5
Algeria,DZA,2007,20.6
Algeria,DZA,2010,20.7
Algeria,DZA,2015,21.2
Algeria,DZA,2020,21.7
Algeria,DZA,2022,22.1
Andorra,AND,2000,36
Andorra,AND,2005,35.5
Andorra,AND,2007,35.7
Andorra,AND,2010,35.4
Andorra,AND,2015,35.4
Andorra,AND,2020,35.3
Andorra,AND,2022,35.4
Argentina,ARG,2000,33.1
Argentina,ARG,2005,30.8
Argentina,ARG,2007,29.9
Argentina,ARG,2010,28.7
Argentina,ARG,2015,26.7
Argentina,ARG,2020,24.8
Argentina,ARG,2022,24.3
Armenia,ARM,2000,34
Armenia,ARM,2005,32.3
Armenia,ARM,2007,31.6
Armenia,ARM,2010,30.6
Armenia,ARM,2015,28.9
Armenia,ARM,2020,27.4
Armenia,ARM,2022,26.6
Asia,OWID_ASI,2000,38.086212
Asia,OWID_ASI,2005,34.04717
Asia,OWID_ASI,2007,32.454212
Asia,OWID_ASI,2010,30.390112
Asia,OWID_ASI,2015,27.30297
Asia,OWID_ASI,2020,24.682951
Asia,OWID_ASI,2022,23.765093
Australia,AUS,2000,24.9
Australia,AUS,2005,21.2
Australia,AUS,2007,19.9
Australia,AUS,2010,18.1
Australia,AUS,2015,15.4
Australia,AUS,2020,13.2
Australia,AUS,2022,12.4
Austria,AUT,2000,49.8
Austria,AUT,2005,42.5
Austria,AUT,2007,39.9
Austria,AUT,2010,36.5
Austria,AUT,2015,31.2
Austria,AUT,2020,26.8
Austria,AUT,2022,25.3
Azerbaijan,AZE,2000,31.5
Azerbaijan,AZE,2005,28.2
Azerbaijan,AZE,2007,26.9
Azerbaijan,AZE,2010,25.1
Azerbaijan,AZE,2015,22.4
Azerbaijan,AZE,2020,20.2
Azerbaijan,AZE,2022,19.3
Bahamas,BHS,2000,13.4
Bahamas,BHS,2005,13.9
Bahamas,BHS,2007,14.2
Bahamas,BHS,2010,14.6
Bahamas,BHS,2015,15.5
Bahamas,BHS,2020,16.5
Bahamas,BHS,2022,17
Bahrain,BHR,2000,21.1
Bahrain,BHR,2005,19.6
Bahrain,BHR,2007,19.1
Bahrain,BHR,2010,18.3
Bahrain,BHR,2015,17.2
Bahrain,BHR,2020,16.1
Bahrain,BHR,2022,15.7
Bangladesh,BGD,2000,57.9
Bangladesh,BGD,2005,50.9
Bangladesh,BGD,2007,48
Bangladesh,BGD,2010,44.2
Bangladesh,BGD,2015,39.1
Bangladesh,BGD,2020,34.9
Bangladesh,BGD,2022,33.3
Belarus,BLR,2000,43.1
Belarus,BLR,2005,39.8
Belarus,BLR,2007,38.3
Belarus,BLR,2010,36.6
Belarus,BLR,2015,33.7
Belarus,BLR,2020,31.1
Belarus,BLR,2022,30.2
Belgium,BEL,2000,29.7
Belgium,BEL,2005,28.3
Belgium,BEL,2007,27.8
Belgium,BEL,2010,27
Belgium,BEL,2015,25.7
